employee_id,login_hour,file_name,file_sensitivity,action,location,device,files_accessed,is_anomaly,risk_status,risk_score,severity,reasons
EMP003,12,employee_handbook.pdf,LOW,UPLOAD,Office,Managed,3,0,NORMAL,0,LOW,
EMP474,11,employee_handbook.pdf,LOW,READ,Office,Managed,28,0,NORMAL,0,LOW,
EMP362,12,payroll.xlsx,CRITICAL,UPLOAD,Office,Managed,11,0,NORMAL,15,LOW,Critical file accessed
EMP125,9,payroll.xlsx,CRITICAL,WRITE,Office,Managed,26,0,NORMAL,15,LOW,Critical file accessed
EMP349,18,payroll.xlsx,CRITICAL,DOWNLOAD,Office,Managed,8,0,NORMAL,15,LOW,Critical file accessed
EMP327,12,team_notes.docx,LOW,SHARE,Office,Managed,26,0,NORMAL,0,LOW,
EMP138,10,salary.xlsx,CRITICAL,EXPORT,Office,Personal,16,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP050,15,project_plan.xlsx,MEDIUM,READ,Office,Managed,25,0,NORMAL,0,LOW,
EMP161,10,finance_report.xlsx,HIGH,READ,Office,Managed,22,0,NORMAL,0,LOW,
EMP376,16,team_notes.docx,LOW,WRITE,Office,Managed,14,0,NORMAL,0,LOW,
EMP354,11,project_plan.xlsx,MEDIUM,READ,Office,Managed,12,0,NORMAL,0,LOW,
EMP415,15,employee_handbook.pdf,LOW,READ,Remote,Personal,6,0,NORMAL,15,LOW,Personal device
EMP108,18,project_plan.xlsx,MEDIUM,READ,Office,Managed,29,0,NORMAL,0,LOW,
EMP067,17,finance_report.xlsx,HIGH,WRITE,Office,Managed,21,0,NORMAL,0,LOW,
EMP010,11,finance_report.xlsx,HIGH,READ,VPN,Managed,1,0,NORMAL,15,LOW,VPN access
EMP260,18,employee_handbook.pdf,LOW,READ,Remote,Managed,4,0,NORMAL,0,LOW,
EMP242,9,payroll.xlsx,CRITICAL,WRITE,Office,Personal,30,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP410,16,employee_handbook.pdf,LOW,READ,Office,Managed,9,0,NORMAL,0,LOW,
EMP230,9,salary.xlsx,CRITICAL,DOWNLOAD,Office,Managed,16,0,NORMAL,15,LOW,Critical file accessed
EMP066,8,salary.xlsx,CRITICAL,READ,Office,Personal,2,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP048,12,employee_handbook.pdf,LOW,READ,Remote,Managed,25,0,NORMAL,0,LOW,
EMP116,12,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,4,0,NORMAL,0,LOW,
EMP403,18,project_plan.xlsx,MEDIUM,READ,Office,Managed,15,0,NORMAL,0,LOW,
EMP180,17,team_notes.docx,LOW,DOWNLOAD,Remote,Managed,15,0,NORMAL,0,LOW,
EMP440,17,finance_report.xlsx,HIGH,READ,Office,Managed,29,0,NORMAL,0,LOW,
EMP482,14,salary.xlsx,CRITICAL,READ,Office,Managed,3,0,NORMAL,15,LOW,Critical file accessed
EMP264,16,project_plan.xlsx,MEDIUM,READ,Office,Managed,7,0,NORMAL,0,LOW,
EMP179,12,team_notes.docx,LOW,READ,Remote,Managed,12,0,NORMAL,0,LOW,
EMP294,16,salary.xlsx,CRITICAL,READ,Office,Managed,30,0,NORMAL,15,LOW,Critical file accessed
EMP207,10,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,13,0,NORMAL,0,LOW,
EMP133,14,project_plan.xlsx,MEDIUM,READ,Remote,Managed,19,0,NORMAL,0,LOW,
EMP443,16,finance_report.xlsx,HIGH,DOWNLOAD,Office,Managed,15,0,NORMAL,0,LOW,
EMP328,15,team_notes.docx,LOW,READ,Office,Managed,26,0,NORMAL,0,LOW,
EMP163,5,finance_report.xlsx,HIGH,DOWNLOAD,VPN,Personal,489,1,ANOMALY,100,CRITICAL,"After-hours login, Personal device, VPN access, High volume file access, ML anomaly detected"
EMP216,18,project_plan.xlsx,MEDIUM,READ,Office,Managed,23,0,NORMAL,0,LOW,
EMP084,12,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,13,0,NORMAL,0,LOW,
EMP339,12,team_notes.docx,LOW,EXPORT,Remote,Managed,6,0,NORMAL,0,LOW,
EMP279,15,finance_report.xlsx,HIGH,READ,Office,Managed,9,0,NORMAL,0,LOW,
EMP244,1,salary.xlsx,CRITICAL,DOWNLOAD,VPN,Managed,363,1,ANOMALY,100,CRITICAL,"After-hours login, VPN access, High volume file access, Critical file accessed, ML anomaly detected"
EMP047,10,team_notes.docx,LOW,READ,Office,Managed,26,0,NORMAL,0,LOW,
EMP153,18,payroll.xlsx,CRITICAL,READ,Office,Managed,6,0,NORMAL,15,LOW,Critical file accessed
EMP271,8,payroll.xlsx,CRITICAL,WRITE,Office,Personal,4,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP352,11,payroll.xlsx,CRITICAL,READ,Office,Managed,10,0,NORMAL,15,LOW,Critical file accessed
EMP163,16,team_notes.docx,LOW,WRITE,Remote,Managed,15,0,NORMAL,0,LOW,
EMP490,12,payroll.xlsx,CRITICAL,READ,Remote,Managed,10,0,NORMAL,15,LOW,Critical file accessed
EMP014,13,team_notes.docx,LOW,WRITE,Office,Managed,9,0,NORMAL,0,LOW,
EMP205,14,finance_report.xlsx,HIGH,WRITE,Office,Managed,9,0,NORMAL,0,LOW,
EMP151,13,employee_handbook.pdf,LOW,READ,Office,Managed,19,0,NORMAL,0,LOW,
EMP379,15,payroll.xlsx,CRITICAL,READ,Remote,Managed,5,0,NORMAL,15,LOW,Critical file accessed
EMP007,8,employee_handbook.pdf,LOW,DOWNLOAD,VPN,Managed,27,0,NORMAL,15,LOW,VPN access
EMP124,11,employee_handbook.pdf,LOW,READ,Office,Managed,22,0,NORMAL,0,LOW,
EMP354,12,finance_report.xlsx,HIGH,READ,Office,Personal,28,0,NORMAL,15,LOW,Personal device
EMP359,12,finance_report.xlsx,HIGH,WRITE,Office,Managed,24,0,NORMAL,0,LOW,
EMP315,18,salary.xlsx,CRITICAL,WRITE,Office,Personal,1,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP022,8,employee_handbook.pdf,LOW,WRITE,Office,Managed,3,0,NORMAL,0,LOW,
EMP016,18,project_plan.xlsx,MEDIUM,READ,VPN,Managed,12,0,NORMAL,15,LOW,VPN access
EMP429,17,team_notes.docx,LOW,READ,Remote,Managed,3,0,NORMAL,0,LOW,
EMP436,13,project_plan.xlsx,MEDIUM,UPLOAD,Office,Managed,11,0,NORMAL,0,LOW,
EMP071,12,salary.xlsx,CRITICAL,READ,Office,Managed,30,0,NORMAL,15,LOW,Critical file accessed
EMP184,12,finance_report.xlsx,HIGH,READ,Office,Managed,3,0,NORMAL,0,LOW,
EMP056,10,salary.xlsx,CRITICAL,READ,Office,Managed,4,0,NORMAL,15,LOW,Critical file accessed
EMP045,9,employee_handbook.pdf,LOW,READ,Remote,Managed,19,0,NORMAL,0,LOW,
EMP172,14,finance_report.xlsx,HIGH,DOWNLOAD,Remote,Personal,5,0,ANOMALY,45,MEDIUM,"Personal device, ML anomaly detected"
EMP241,11,finance_report.xlsx,HIGH,EXPORT,Office,Managed,9,0,NORMAL,0,LOW,
EMP296,9,payroll.xlsx,CRITICAL,WRITE,Office,Managed,19,0,NORMAL,15,LOW,Critical file accessed
EMP273,9,salary.xlsx,CRITICAL,READ,Remote,Managed,1,0,NORMAL,15,LOW,Critical file accessed
EMP122,15,team_notes.docx,LOW,READ,Office,Managed,26,0,NORMAL,0,LOW,
EMP016,11,salary.xlsx,CRITICAL,READ,Office,Managed,6,0,NORMAL,15,LOW,Critical file accessed
EMP262,16,team_notes.docx,LOW,WRITE,Office,Managed,12,0,NORMAL,0,LOW,
EMP309,13,team_notes.docx,LOW,UPLOAD,VPN,Managed,19,0,NORMAL,15,LOW,VPN access
EMP165,12,project_plan.xlsx,MEDIUM,WRITE,Remote,Managed,19,0,NORMAL,0,LOW,
EMP208,8,finance_report.xlsx,HIGH,WRITE,Remote,Managed,13,0,NORMAL,0,LOW,
EMP236,13,employee_handbook.pdf,LOW,READ,Office,Managed,8,0,NORMAL,0,LOW,
EMP147,11,salary.xlsx,CRITICAL,READ,Office,Managed,8,0,NORMAL,15,LOW,Critical file accessed
EMP146,15,salary.xlsx,CRITICAL,READ,Office,Personal,9,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP316,4,payroll.xlsx,CRITICAL,DOWNLOAD,VPN,Managed,303,1,NORMAL,75,HIGH,"After-hours login, VPN access, High volume file access, Critical file accessed"
EMP198,9,finance_report.xlsx,HIGH,READ,Office,Managed,29,0,NORMAL,0,LOW,
EMP118,9,team_notes.docx,LOW,READ,Office,Managed,6,0,NORMAL,0,LOW,
EMP489,16,salary.xlsx,CRITICAL,UPLOAD,Office,Managed,4,0,NORMAL,15,LOW,Critical file accessed
